t_s,cmd_turns,pos_turns,vel_tps,trq_Nm
2.36,-0.04231,-0.04704,-0.0052,-0.0477
2.37,-0.04255,-0.04704,-0.0019,-0.0389
2.38,-0.04279,-0.04697,0.0001,-0.0217
2.39,-0.04304,-0.04693,-0.0029,-0.0218
2.4,-0.04328,-0.04698,-0.0011,-0.0327
2.41,-0.04352,-0.04697,0.0005,-0.0375
2.42,-0.04375,-0.047,-0.0006,-0.0357
2.43,-0.04398,-0.04702,-0.0016,-0.0295
2.44,-0.04422,-0.04705,-0.0001,-0.0351
2.45,-0.04445,-0.04701,-0.0026,-0.0292
2.46,-0.04469,-0.04697,-0.0025,-0.0447
2.47,-0.04492,-0.04708,0.0018,-0.0445
2.48,-0.04514,-0.04707,0.0041,-0.0331
2.49,-0.04537,-0.04703,0.0011,-0.0419
2.5,-0.04559,-0.04699,-0.0009,-0.0425
2.51,-0.04582,-0.04704,-0.002,-0.0607
2.52,-0.04604,-0.04696,0.0003,-0.05
2.53,-0.04627,-0.04698,-0.0003,-0.0478
2.54,-0.04649,-0.04709,-0.0007,-0.0477
2.55,-0.0467,-0.04695,0.0006,-0.0505
2.56,-0.04692,-0.04698,-0.0022,-0.0606
2.57,-0.04714,-0.04701,-0.0008,-0.0526
2.58,-0.04735,-0.04701,-0.0011,-0.0598
2.59,-0.04757,-0.04697,-0.0027,-0.0584
2.6,-0.04778,-0.04697,-0.0011,-0.0693
2.61,-0.04799,-0.04707,0.0006,-0.0597
2.62,-0.0482,-0.04692,-0.0022,-0.0602
2.63,-0.04841,-0.04695,-0.0003,-0.071
2.64,-0.04862,-0.04703,-0.0023,-0.0703
2.65,-0.04882,-0.04698,0.0008,-0.0838
2.66,-0.04903,-0.04705,0.0003,-0.0776
2.67,-0.04923,-0.04705,-0.0042,-0.0839
2.68,-0.04943,-0.0471,-0.0036,-0.0741
2.69,-0.04963,-0.04707,-0.0053,-0.0732
2.7,-0.04983,-0.04729,-0.0058,-0.0766
2.71,-0.05002,-0.04724,-0.0113,-0.0708
2.72,-0.05022,-0.04735,-0.0109,-0.073
2.73,-0.05042,-0.04747,-0.0143,-0.0513
2.74,-0.05061,-0.04764,-0.014,-0.0621
2.75,-0.05079,-0.04773,-0.0165,-0.0577
2.76,-0.05098,-0.0479,-0.0199,-0.0662
2.77,-0.05117,-0.0483,-0.0193,-0.0904
2.78,-0.05135,-0.04835,-0.0202,-0.0708
2.79,-0.05154,-0.04853,-0.0256,-0.0684
2.8,-0.05173,-0.04866,-0.0263,-0.0894
2.81,-0.0519,-0.04888,-0.0301,-0.0943
2.82,-0.05208,-0.04906,-0.0313,-0.0539
2.83,-0.05225,-0.04936,-0.0348,-0.0659
2.84,-0.05243,-0.04966,-0.0389,-0.093
2.85,-0.0526,-0.04978,-0.0377,-0.0753
2.86,-0.05278,-0.05014,-0.0421,-0.069
2.87,-0.05295,-0.05049,-0.0417,-0.0702
2.88,-0.05311,-0.05087,-0.0427,-0.0606
2.89,-0.05327,-0.05115,-0.0474,-0.0588
2.9,-0.05344,-0.05148,-0.0464,-0.0841
2.91,-0.0536,-0.05187,-0.0482,-0.0696
2.92,-0.05376,-0.0522,-0.049,-0.0498
2.93,-0.05392,-0.05258,-0.0473,-0.0662
2.94,-0.05407,-0.05295,-0.0486,-0.041
2.95,-0.05423,-0.05342,-0.0461,-0.0581
2.96,-0.05437,-0.05382,-0.0455,-0.0506
2.97,-0.05452,-0.05425,-0.0468,-0.0488
2.98,-0.05467,-0.05474,-0.0421,-0.0456
2.99,-0.05482,-0.05514,-0.0418,-0.0634
3,-0.05496,-0.05575,-0.0387,-0.0598
3.01,-0.0551,-0.05675,-0.0333,-0.0326
3.02,-0.05524,-0.05712,-0.0247,-0.0427
3.03,-0.05537,-0.05748,-0.0213,-0.0554
3.04,-0.0555,-0.05771,-0.0201,-0.0412
3.05,-0.05564,-0.05779,-0.0145,-0.0597
3.06,-0.05577,-0.05791,-0.0069,-0.0382
3.07,-0.0559,-0.05796,-0.0026,-0.0564
3.08,-0.05601,-0.05799,-0.0006,-0.0578
3.09,-0.05613,-0.05799,-0.0035,-0.054
3.1,-0.05625,-0.05795,-0.0011,-0.0437
3.11,-0.05636,-0.05805,0.0002,-0.0418
3.12,-0.05648,-0.05797,0.002,-0.0527
3.13,-0.05659,-0.05791,-0.0016,-0.0523
3.14,-0.05669,-0.05799,-0.0053,-0.0476
