t_s,cmd_turns,pos_turns,vel_tps,trq_Nm
2.09,-0.03536,0.00622,0.0041,-0.0063
2.1,-0.03563,0.00622,0.0018,-0.0134
2.11,-0.03589,0.00632,0.0017,-0.0125
2.12,-0.03616,0.00622,0.0013,-0.0159
2.13,-0.03643,0.00621,-0.0024,-0.0256
2.14,-0.03669,0.00631,-0.0002,-0.0253
2.15,-0.03695,0.00628,-0.0013,-0.0212
2.16,-0.03721,0.00628,-0.0003,-0.0207
2.17,-0.03748,0.00622,0.0008,-0.0283
2.18,-0.03774,0.0062,-0.0021,-0.0295
2.19,-0.038,0.00627,-0,-0.0322
2.2,-0.03826,0.00628,-0.0003,-0.0437
2.21,-0.03852,0.00623,-0.0014,-0.0327
2.22,-0.03878,0.00619,0.0013,-0.036
2.23,-0.03904,0.00629,-0.0026,-0.0333
2.24,-0.03929,0.00628,-0.0012,-0.0474
2.25,-0.03955,0.00626,-0.0016,-0.0495
2.26,-0.03981,0.0063,0.0024,-0.0406
2.27,-0.04006,0.00626,-0.001,-0.0557
2.28,-0.04031,0.00632,-0.0017,-0.0612
2.29,-0.04057,0.00624,-0.0004,-0.0528
2.3,-0.04082,0.00624,-0,-0.0564
2.31,-0.04107,0.00624,-0.0029,-0.0637
2.32,-0.04132,0.00629,-0.0008,-0.0569
2.33,-0.04157,0.00626,-0.0001,-0.0719
2.34,-0.04182,0.0063,0.0002,-0.065
2.35,-0.04206,0.0063,-0.0021,-0.0724
2.36,-0.04231,0.00624,-0.0002,-0.0738
2.37,-0.04255,0.00635,-0.0018,-0.0798
2.38,-0.04279,0.00622,-0.0024,-0.0778
2.39,-0.04304,0.0063,-0.0007,-0.0818
2.4,-0.04328,0.00629,-0.0029,-0.0792
2.41,-0.04352,0.00619,-0.0024,-0.0892
2.42,-0.04375,0.00617,0.0007,-0.0815
2.43,-0.04398,0.00624,-0.0007,-0.0924
2.44,-0.04422,0.0063,-0.0022,-0.083
2.45,-0.04445,0.00624,-0.0001,-0.0908
2.46,-0.04469,0.00622,-0.0018,-0.099
2.47,-0.04492,0.00628,-0.0003,-0.0929
2.48,-0.04514,0.00624,-0.0031,-0.0866
2.49,-0.04537,0.00624,-0.0014,-0.1082
2.5,-0.04559,0.00629,-0.0028,-0.1033
2.51,-0.04582,0.00623,-0.0052,-0.107
2.52,-0.04604,0.00622,-0.0028,-0.0987
2.53,-0.04627,0.00624,-0.0041,-0.1132
2.54,-0.04649,0.00624,-0.0067,-0.1234
2.55,-0.0467,0.00623,-0.0066,-0.108
2.56,-0.04692,0.00627,-0.0048,-0.1172
2.57,-0.04714,0.00631,-0.0088,-0.1202
2.58,-0.04735,0.00623,-0.01,-0.1246
2.59,-0.04757,0.00628,-0.0164,-0.1138
2.6,-0.04778,0.0062,-0.0174,-0.1203
2.61,-0.04799,0.00596,-0.0193,-0.1307
2.62,-0.0482,0.00578,-0.0187,-0.1231
2.63,-0.04841,0.00539,-0.0225,-0.1502
2.64,-0.04862,0.00506,-0.0288,-0.1152
2.65,-0.04882,0.00475,-0.034,-0.1283
2.66,-0.04903,0.00436,-0.0366,-0.1058
2.67,-0.04923,0.00372,-0.0409,-0.1363
2.68,-0.04943,0.00332,-0.0434,-0.1284
2.69,-0.04963,0.00263,-0.0471,-0.1599
2.7,-0.04983,0.00168,-0.0557,-0.1275
2.71,-0.05002,0.001,-0.0577,-0.1399
2.72,-0.05022,-9e-05,-0.0584,-0.1131
2.73,-0.05042,-0.00064,-0.0651,-0.1281
2.74,-0.05061,-0.00169,-0.069,-0.1327
2.75,-0.05079,-0.00224,-0.0736,-0.0934
2.76,-0.05098,-0.00306,-0.0775,-0.1452
2.77,-0.05117,-0.00376,-0.077,-0.1189
2.78,-0.05135,-0.00438,-0.0845,-0.1312
2.79,-0.05154,-0.00499,-0.0907,-0.1048
2.8,-0.05173,-0.00545,-0.0923,-0.1327
2.81,-0.0519,-0.00607,-0.0991,-0.0974
2.82,-0.05208,-0.00682,-0.1005,-0.1278
2.83,-0.05225,-0.0076,-0.1075,-0.12
2.84,-0.05243,-0.00859,-0.1119,-0.1253
2.85,-0.0526,-0.0096,-0.1123,-0.2196
2.86,-0.05278,-0.01072,-0.1129,-0.2106
2.87,-0.05295,-0.01191,-0.119,-0.1572
2.88,-0.05311,-0.01303,-0.1204,-0.1381
2.89,-0.05327,-0.01462,-0.1216,-0.0712
2.9,-0.05344,-0.01621,-0.1208,-0.0989
2.91,-0.0536,-0.01779,-0.1246,-0.1399
2.92,-0.05376,-0.0191,-0.1252,-0.1061
2.93,-0.05392,-0.02094,-0.1259,-0.0898
2.94,-0.05407,-0.02259,-0.1283,-0.1214
2.95,-0.05423,-0.02432,-0.128,-0.1076
2.96,-0.05437,-0.02511,-0.1292,-0.1444
2.97,-0.05452,-0.02596,-0.1318,-0.1181
2.98,-0.05467,-0.02694,-0.1371,-0.1216
2.99,-0.05482,-0.02789,-0.1386,-0.1416
3,-0.05496,-0.02893,-0.1419,-0.0944
3.01,-0.0551,-0.03394,-0.1456,-0.0665
3.02,-0.05524,-0.0354,-0.1419,-0.1152
3.03,-0.05537,-0.03715,-0.1438,-0.0488
3.04,-0.0555,-0.03884,-0.1448,-0.0471
3.05,-0.05564,-0.0406,-0.1429,-0.074
3.06,-0.05577,-0.04263,-0.1398,-0.0561
3.07,-0.0559,-0.04407,-0.1351,-0.0714
3.08,-0.05601,-0.04546,-0.1348,-0.101
3.09,-0.05613,-0.0464,-0.1324,-0.0953
3.1,-0.05625,-0.04745,-0.1355,-0.0897
3.11,-0.05636,-0.04843,-0.1363,-0.0755
3.12,-0.05648,-0.04929,-0.1344,-0.0693
3.13,-0.05659,-0.05039,-0.1351,-0.1043
3.14,-0.05669,-0.05141,-0.1347,-0.1205
3.15,-0.05677,-0.05274,-0.1354,-0.073
3.16,-0.05684,-0.05406,-0.1339,-0.0583
3.17,-0.05692,-0.05556,-0.1297,-0.0776
3.18,-0.057,-0.05686,-0.1274,-0.0443
3.19,-0.05499,-0.05867,-0.1219,-0.034
3.2,-0.05158,-0.06042,-0.1229,-0.0387
3.21,-0.05161,-0.06147,-0.1159,-0.0477
3.22,-0.05164,-0.06278,-0.1091,-0.0745
3.23,-0.05167,-0.06431,-0.1034,-0.0462
3.24,-0.0517,-0.06579,-0.0957,-0.0602
3.25,-0.05173,-0.06658,-0.0897,-0.0784
3.26,-0.05175,-0.06711,-0.0867,-0.031
3.27,-0.05173,-0.06778,-0.0849,-0.0432
3.28,-0.05167,-0.06844,-0.0807,-0.0287
3.29,-0.05159,-0.06907,-0.0777,-0.0403
3.3,-0.05151,-0.06954,-0.0724,-0.0362
3.31,-0.05143,-0.06999,-0.0724,-0.0277
3.32,-0.05135,-0.07056,-0.0667,-0.0151
3.33,-0.05126,-0.07115,-0.0659,-0.0151
3.34,-0.05111,-0.0715,-0.0613,-0.0289
3.35,-0.05093,-0.07207,-0.0567,-0.0245
3.36,-0.05074,-0.07248,-0.0522,-0.0181
3.37,-0.05055,-0.07297,-0.0527,-0.035
3.38,-0.05035,-0.07329,-0.0442,-0.0148
3.39,-0.05016,-0.07377,-0.038,-0.0217
3.4,-0.04994,-0.07397,-0.0362,-0.0157
3.41,-0.04971,-0.07445,-0.0325,-0.0207
3.42,-0.04945,-0.0746,-0.026,-0.0069
3.43,-0.04918,-0.07468,-0.0192,-0.033
3.44,-0.04892,-0.07489,-0.0157,-0.0241
3.45,-0.04866,-0.07486,-0.0078,-0.0116
3.46,-0.0484,-0.07496,-0.0013,-0.0119
3.47,-0.04813,-0.07488,0.0001,-0.0061
3.48,-0.04784,-0.07498,0.0016,-0.0075
3.49,-0.04755,-0.07501,0.0015,-0.0026
3.5,-0.04726,-0.07494,-0.0004,0.0026
3.51,-0.04697,-0.07497,-0.001,0.0104
3.52,-0.04668,-0.07494,-0.0008,0.0166
3.53,-0.04639,-0.07494,0.001,0.0018
3.54,-0.0461,-0.07489,-0.0001,0.0024
3.55,-0.04581,-0.07497,-0.0015,0.0159
3.56,-0.04552,-0.07492,0.001,0.0149
3.57,-0.04522,-0.07493,0.0012,0.0164
3.58,-0.04493,-0.07497,0,0.0215
3.59,-0.04464,-0.07495,0.0015,0.0185
3.6,-0.04434,-0.07493,0.0003,0.0177
3.61,-0.04405,-0.07492,0.0001,0.0111
3.62,-0.04376,-0.07499,0.0008,0.0111
3.63,-0.04347,-0.07491,0.0003,0.0186
3.64,-0.04318,-0.07485,-0.0004,0.0203
3.65,-0.04289,-0.07492,0.0004,0.0349
3.66,-0.0426,-0.07491,-0.0005,0.0395
3.67,-0.04231,-0.07493,-0.0009,0.028
3.68,-0.04203,-0.07486,-0.0009,0.0251
3.69,-0.04174,-0.07495,-0.0013,0.0331
3.7,-0.04146,-0.07494,0.0014,0.0392
3.71,-0.04117,-0.07488,-0.0015,0.0355
3.72,-0.04089,-0.07492,-0.0014,0.0459
3.73,-0.0406,-0.07489,-0.0009,0.0473
